ADC_TIMER_DMA_EXPERIMENT,version=1
CONFIG,sample_rate_hz=500,duration_s=120,dma_samples=64,timing_probe=1,sw_trigger_after_rearm=0,foreground_stalls=1,print_samples=0
START
SUMMARY,elapsed_ms=45055,conversions=22527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=351,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2111,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=351,processed_samples=22464,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=260,sample_max=4595,short_stalls=450,long_stalls=45
SUMMARY,elapsed_ms=46055,conversions=23027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=359,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2158,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=359,processed_samples=22976,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=260,sample_max=4595,short_stalls=460,long_stalls=46
SUMMARY,elapsed_ms=47055,conversions=23527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=367,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2205,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=367,processed_samples=23488,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=470,long_stalls=47
SUMMARY,elapsed_ms=48055,conversions=24027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=375,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2252,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=374,processed_samples=23936,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=480,long_stalls=48
SUMMARY,elapsed_ms=49055,conversions=24527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=383,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2299,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=382,processed_samples=24448,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=490,long_stalls=49
SUMMARY,elapsed_ms=50055,conversions=25027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=390,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2345,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=390,processed_samples=24960,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=500,long_stalls=50
SUMMARY,elapsed_ms=51055,conversions=25527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=398,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2392,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=398,processed_samples=25472,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=510,long_stalls=51
SUMMARY,elapsed_ms=52055,conversions=26027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=406,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2439,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=406,processed_samples=25984,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=520,long_stalls=52
SUMMARY,elapsed_ms=53055,conversions=26527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=414,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2486,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=413,processed_samples=26432,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=530,long_stalls=53
SUMMARY,elapsed_ms=54055,conversions=27027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=422,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2533,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=421,processed_samples=26944,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=540,long_stalls=54
SUMMARY,elapsed_ms=55055,conversions=27527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=429,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2579,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=429,processed_samples=27456,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=550,long_stalls=55
SUMMARY,elapsed_ms=56055,conversions=28027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=437,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2626,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=437,processed_samples=27968,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=560,long_stalls=56
SUMMARY,elapsed_ms=57055,conversions=28526,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=445,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2673,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=445,processed_samples=28480,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=570,long_stalls=57
SUMMARY,elapsed_ms=58055,conversions=29026,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=453,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2720,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=452,processed_samples=28928,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=580,long_stalls=58
SUMMARY,elapsed_ms=59055,conversions=29526,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=461,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2767,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=460,processed_samples=29440,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=590,long_stalls=59
SUMMARY,elapsed_ms=60055,conversions=30026,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=469,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=2814,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=468,processed_samples=29952,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=259,sample_max=4595,short_stalls=600,long_stalls=60
